City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hirara,24.8,125.2833,25.15,73,100,4.63,JP,1697300510
84,saipan,15.1355,145.701,27.39,94,100,4.12,MP,1697300510
85,gordonvale,-17.0936,145.7842,21.06,93,56,1.38,AU,1697300510
86,puerto ayora,-0.7393,-90.3518,29.98,90,95,4.02,EC,1697300510
87,zhangye,38.9342,100.4517,12.52,24,0,2.31,CN,1697300511
88,olonkinbyen,70.9221,-8.7187,-2.39,84,100,10.65,SJ,1697300511
89,bandar lampung,-5.4254,105.258,23.9,91,52,2.34,ID,1697300511
90,susuman,62.7833,148.1667,-12.79,95,86,0.45,RU,1697300512
91,iqaluit,63.7506,-68.5145,0.85,86,75,3.6,CA,1697300512
92,pisco,-13.7,-76.2167,21.12,78,0,5.14,PE,1697300513
93,port mathurin,-19.6833,63.4167,23.37,58,60,4.88,MU,1697299989
94,nieuw amsterdam,5.8833,-55.0833,37.79,63,40,2.06,SR,1697300514
95,tolanaro,-25.0319,46.9987,24.04,88,20,2.06,MG,1697300514
96,san patricio,28.017,-97.5169,24.05,34,25,8.15,US,1697300514
97,nenjiang,49.1833,125.2167,7.51,38,30,9.04,CN,1697300515
98,gadzhiyevo,69.2551,33.3362,0.96,80,100,8.65,RU,1697300515
99,tiksi,71.6872,128.8694,-9.61,95,100,3.74,RU,1697300515
100,dudinka,69.4058,86.1778,1.49,93,100,6.71,RU,1697300515
101,taoudenni,22.6783,-3.9836,36.13,10,1,4.21,ML,1697300516
102,hithadhoo,-0.6,73.0833,27.59,75,8,3.18,MV,1697300516
103,mutuali,-14.8706,37.0044,32.31,23,1,2.14,MZ,1697300516
104,gaspe,48.8334,-64.4819,9.12,93,100,4.12,CA,1697300517
105,chonchi,-42.6128,-73.8092,12.56,67,100,1.94,CL,1697300517
106,nemuro,43.3236,145.575,14.07,72,100,3.72,JP,1697300518
107,yacuiba,-22.038,-63.6797,30.48,22,50,3.42,BO,1697300518
108,nea alikarnassos,35.3333,25.1667,22.68,73,20,3.09,GR,1697300518
109,kodiak,57.79,-152.4072,0.73,100,75,2.57,US,1697300519
110,codrington,-38.2667,141.9667,10.59,70,98,3.05,AU,1697300519
111,perugorria,-29.3413,-58.6106,24.52,35,0,4.31,AR,1697300519
